date,Clark,King,Kitsap,Pierce,Snohomish,Spokane,Thurston,Yakima
2020-11-22,7271.0,38691.0,2123.0,16266.0,13639.0,14067.0,2685.0,14182.0
2020-11-23,7612.0,40084.0,2209.0,16428.0,14443.0,15081.0,2685.0,14562.0
2020-11-24,7772.0,40755.0,2263.0,16766.0,14715.0,15344.0,2721.0,14712.0
2020-11-25,8030.0,41519.0,2318.0,17061.0,14925.0,15752.0,2778.0,14822.0
2020-11-26,8030.0,42122.0,2318.0,17155.0,14925.0,15752.0,2778.0,14822.0
2020-11-27,8288.0,42922.0,2391.0,17290.0,14925.0,16365.0,2901.0,15006.0
2020-11-28,8377.0,43403.0,2415.0,17701.0,14925.0,16415.0,2945.0,15070.0
2020-11-29,8497.0,43856.0,2439.0,18047.0,14925.0,16613.0,2958.0,15070.0
2020-11-30,8843.0,44425.0,2491.0,18253.0,15973.0,17214.0,3019.0,15331.0
2020-12-01,8914.0,45157.0,2538.0,18530.0,16234.0,17535.0,3281.0,15448.0
2020-12-02,9189.0,45830.0,2585.0,18811.0,16523.0,17787.0,3349.0,15562.0
2020-12-03,9324.0,46192.0,2625.0,19127.0,16678.0,18077.0,3390.0,15654.0
2020-12-04,9431.0,46950.0,2682.0,19515.0,16894.0,18386.0,3344.0,15729.0
2020-12-05,9542.0,47274.0,2707.0,19717.0,16894.0,18563.0,3484.0,15815.0
2020-12-06,9661.0,47637.0,2754.0,19752.0,16894.0,18954.0,3504.0,15928.0
2020-12-07,9849.0,49758.0,2858.0,19864.0,17880.0,19325.0,3608.0,16330.0
2020-12-08,10019.0,50345.0,2920.0,20280.0,18148.0,19957.0,3675.0,16577.0
2020-12-09,10334.0,50989.0,2957.0,21023.0,18315.0,20182.0,3744.0,16683.0
2020-12-10,10527.0,51690.0,2989.0,21733.0,18681.0,20388.0,3776.0,16852.0
2020-12-11,10775.0,52594.0,3030.0,22202.0,18941.0,20714.0,3840.0,17071.0
2020-12-12,10976.0,53365.0,3088.0,22682.0,18941.0,21137.0,3917.0,17293.0
2020-12-13,11111.0,54036.0,3122.0,23199.0,18941.0,21371.0,3939.0,17293.0
2020-12-14,11206.0,54668.0,3127.0,23369.0,19696.0,21661.0,3989.0,17585.0
2020-12-15,11300.0,54868.0,3177.0,23684.0,19839.0,21881.0,4034.0,17677.0
2020-12-16,11320.0,55231.0,3177.0,23846.0,20095.0,22007.0,4068.0,17780.0
