date,California,Florida,Illinois,Indiana,Maryland,Massachusetts,Nevada,New York,North Carolina,Oregon,Pennsylvania,Washington,CAN,GBR,ITA,0
2020-06-16,159131.0,80101.0,134866.0,41780.0,63004.0,105885.0,11673.0,389349.0,46105.0,6111.0,84077.0,27949.0,101087.0,274971.0,237500.0,125329.0
2020-06-17,163381.0,82711.0,135416.0,42036.0,63565.0,106151.0,11852.0,389910.0,47142.0,6235.0,84387.0,28270.0,101491.0,275970.0,237828.0,128505.0
2020-06-18,167135.0,85918.0,136081.0,42480.0,63839.0,106422.0,12164.0,390536.0,48426.0,6390.0,84780.0,28663.0,101877.0,276990.0,238159.0,131224.0
2020-06-19,170843.0,89740.0,136917.0,42801.0,64150.0,106650.0,12525.0,391330.0,50014.0,6592.0,85288.0,29045.0,102314.0,277974.0,238011.0,134049.0
2020-06-20,174854.0,93789.0,137535.0,43135.0,64565.0,106936.0,12977.0,392037.0,51640.0,6682.0,85678.0,29466.0,102762.0,278640.0,238275.0,137073.0
2020-06-21,178807.0,97283.0,138154.0,43496.0,64903.0,107061.0,13236.0,392702.0,52854.0,6945.0,86024.0,29797.0,103078.0,279264.0,238499.0,140262.0
2020-06-22,184620.0,100209.0,138615.0,43709.0,65202.0,107210.0,13575.0,393257.0,53840.0,7115.0,86666.0,30443.0,103418.0,280156.0,238720.0,144534.0
2020-06-23,191039.0,103495.0,139282.0,43967.0,65602.0,107439.0,14058.0,393855.0,54826.0,7317.0,87283.0,30778.0,103767.0,281038.0,238833.0,149218.0
2020-06-24,195889.0,109006.0,140025.0,44260.0,65934.0,107611.0,14460.0,394430.0,56263.0,7462.0,87775.0,31400.0,104087.0,281815.0,239410.0,152515.0
2020-06-25,201413.0,114010.0,140935.0,44779.0,66397.0,107837.0,14911.0,395168.0,57540.0,7605.0,88230.0,31998.0,104463.0,282512.0,239706.0,156536.0
2020-06-26,207027.0,122952.0,141812.0,45269.0,66704.0,108070.0,15359.0,395972.0,59257.0,8008.0,88950.0,32489.0,104629.0,283151.0,239961.0,160518.0
2020-06-27,211453.0,132537.0,142536.0,45707.0,67032.0,108443.0,16400.0,396669.0,60709.0,8110.0,89400.0,33031.0,104878.0,283785.0,240136.0,164221.0
2020-06-28,216955.0,141067.0,143117.0,46071.0,67360.0,108667.0,17187.0,397293.0,62178.0,8348.0,89785.0,33341.0,105193.0,284192.0,240310.0,168347.0
2020-06-29,223995.0,146333.0,143885.0,46370.0,67837.0,108768.0,17971.0,397684.0,63692.0,8509.0,90553.0,34036.0,105830.0,284812.0,240436.0,173449.0
2020-06-30,232153.0,152426.0,144661.0,46740.0,68152.0,108882.0,18582.0,398142.0,65064.0,8695.0,91226.0,34541.0,106097.0,285216.0,240578.0,179194.0
2020-07-01,239764.0,158989.0,145541.0,47116.0,68502.0,109143.0,19151.0,398770.0,66815.0,9019.0,91864.0,35258.0,106288.0,285279.0,240760.0,184211.0
2020-07-02,248198.0,169098.0,146407.0,47553.0,69015.0,109338.0,19871.0,399642.0,68512.0,9344.0,92703.0,35921.0,106643.0,285285.0,240961.0,190244.0
2020-07-03,256298.0,178586.0,147293.0,48099.0,69422.0,109628.0,20878.0,400561.0,70451.0,9643.0,93418.0,36417.0,106962.0,285787.0,241184.0,196597.0
2020-07-04,265176.0,190044.0,148151.0,48628.0,69724.0,109838.0,21671.0,401286.0,71735.0,9937.0,93922.0,36799.0,107185.0,286412.0,241419.0,203624.0
2020-07-05,271587.0,200103.0,148730.0,49203.0,69957.0,109974.0,22518.0,401822.0,73096.0,10237.0,94403.0,37468.0,107394.0,286931.0,241611.0,207659.0
